Year,Bigfoot Sightings,UFO Sightings,Total Sightings
1958,63,5,68
1959,66,1,67
1960,80,6,86
1961,57,7,64
1962,80,6,86
1963,98,18,116
1964,113,12,125
1965,222,10,232
1966,229,8,237
1967,232,17,249
1968,255,20,275
1969,180,22,202
1970,172,35,207
1971,135,22,157
1972,196,37,233
1973,276,37,313
1974,310,41,351
1975,355,59,414
1976,329,49,378
1977,326,86,412
1978,377,91,468
1979,282,62,344
1980,283,84,367
1981,200,52,252
1982,215,63,278
1983,198,57,255
1984,199,50,249
1985,246,53,299
1986,208,59,267
1987,246,50,296
1988,265,46,311
1989,291,46,337
1990,280,47,327
1991,259,56,315
1992,294,46,340
1993,333,70,403
1994,466,68,534
1995,1407,69,1476
1996,903,86,989
1997,1320,110,1430
1998,1795,126,1921
1999,2819,84,2903
2000,2707,189,2896
2001,2995,163,3158
2002,3010,129,3139
2003,3551,146,3697
2004,3910,174,4084
2005,3836,169,4005
2006,3510,173,3683
2007,4121,123,4244
2008,4747,148,4895
2009,4328,130,4458
2010,4278,118,4396
2011,5219,142,5361
2012,7488,195,7683
2013,7177,144,7321
2014,8176,126,8302
2015,6579,88,6667
2016,5430,67,5497
2017,4838,60,4898
2018,3324,55,3379
2019,6011,40,6051
2020,6851,63,6914
2021,3364,48,3412
2022,4332,31,4363
2023,858,3,861